(343, 325)
(-335, 397)
(29, 101)
(-299, 282)
(213, -361)
(260, -91)
(158, 246)
(-328, 208)
(-295, -16)
(22, 60)
(386, -360)
(-17, 239)
(235, 184)
(156, 259)
(-17, 57)
(250, -332)
(-99, -93)
(-293, -278)
(358, 348)
(85, -299)
(-97, 148)
(-371, 133)
(-398, -260)
(-354, 187)
(341, -184)
(-149, 277)
(-352, -317)
(363, 165)
(8, -306)
(-28, 345)
(14, 343)
(356, -218)
(-252, -139)
(-210, -157)
(240, -308)
(-329, 341)
(16, 299)
(12, -333)
(-65, -28)
(-107, 2)
(-282, 262)
(-271, 322)
(-386, -173)
(-290, 152)
(143, 367)
(308, -324)
(32, -112)
(-113, -266)
(33, -46)
(149, 170)
(382, -225)
(-362, -312)
(-328, 328)
(102, 218)
(-262, -260)
(366, -395)
(-373, 8)
(-199, -283)
(200, 18)
(-88, -100)
